Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0514852228037534,-0.796594817886908,-0.0801908666316181,0,0,0,82.9505113272348,6.49423912277532,1.14324329542244E-15,2.18534500391539E-19,6.49177902944485,5.93853941289837E-07,12.9815895282492,0,0,0,0,0,0,package://0000总装配体/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/base_link.STL,,KA-HG002-B-01-0001-1/装配体5gh-1/800x8001-1;KA-HG002-B-01-0001-1/装配体5gh-1/CGR51-80-U-1;KA-HG002-B-01-0001-1/装配体5gh-1/CGR51-80-U-3;KA-HG002-B-01-0001-1/装配体5gh-1/CGR51-80-U-4;KA-HG002-B-01-0001-1/装配体5gh-1/CGR51-80-U-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left-obl-1,-0.146230246641277,0.198143279093593,-4.0652288960108E-06,0,0,0,4.15584212369352,0.112252927087713,0.0837479479460412,-2.74721842191261E-06,0.0703122721434734,3.77730010594157E-06,0.177260146809143,0,0,0,0,0,0,package://0000总装配体/meshes/left-obl-1.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/left-obl-1.STL,,KA-HG002-B-01-0001-1/机器人架台-1/肋板-2,Origin_joint1,Axis_joint1,joint1,fixed,-0.471485222803753,-0.491470974847297,-0.0720851780501181,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
left-stand-1,0.0273672467617748,-1.11022302462516E-16,0,0,0,0,2.67028289686023,0.00314327701135894,-2.59915745659437E-18,2.75349035895795E-18,0.0412735877196404,3.72562147893883E-19,0.0412735877196404,0,0,0,0,0,0,package://0000总装配体/meshes/left-stand-1.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/left-stand-1.STL,,KA-HG002-B-01-0001-1/装配体2hg-1/零件1ghh-2;KA-HG002-B-01-0001-1/装配体2hg-1/零件1ghhgg-2,Origin_joint2,Axis_joint2,joint2,fixed,-0.331485222803753,-0.751470974847297,0.162914821949882,1.5707963267949,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
left-stand-2,-0.331454620227189,-0.751874363349345,0.441742461351927,0,0,0,0.815527008228115,0.00478624799358703,4.36240102322761E-07,-1.25219246352216E-08,0.00493988670099739,9.82143637888717E-07,0.000590501499973922,0,0,0,0,0,0,package://0000总装配体/meshes/left-stand-2.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/left-stand-2.STL,,KA-HG002-B-01-0001-1/装配体2hg-1/零件6hj-2;KA-HG002-B-01-0001-1/装配体2hg-1/GFC01-D35-1;KA-HG002-B-01-0001-1/装配体6ui-1/零件3ghh-2,Origin_global,Axis_joint3,joint3,fixed,0.162914821949882,0.331485222803753,-0.751470974847297,-1.5707963267949,0,1.5707963267949,left-stand-1,0,0,0,,,,,,,,,,,,
plane,5.41233724504764E-16,0.00433401878802386,0.00759096325219621,0,0,0,14.5078298690616,0.409405102788164,4.21013962832834E-17,-1.32852483543753E-16,1.19713306067493,7.47854805414467E-10,0.788091434277513,0,0,0,0,0,0,package://0000总装配体/meshes/plane.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/plane.STL,,KA-HG002-B-01-0001-1/装配体6ui-1/平台-1,Origin_joint4,Axis_joint4,joint4,fixed,-0.051484736632755,-0.851470680947861,0.727914821949887,-1.5707963267949,0,0,left-stand-2,0,0,0,,,,,,,,,,,,
med-hor,9.71445146547012E-17,0,-1.11022302462516E-16,0,0,0,2.61394577447214,0.00279390693182001,-2.47230875501755E-18,9.53836983068687E-19,0.0558541571007462,1.5034063526738E-19,0.0558541571007462,0,0,0,0,0,0,package://0000总装配体/meshes/med-hor.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/med-hor.STL,,KA-HG002-B-01-0001-1/装配体2hg-1/零件1ghhg-1,Origin_joint5,Axis_joint5,joint5,fixed,-0.195,0.28,0,0,0,1.5707963267949,left-stand-1,0,0,0,,,,,,,,,,,,
med-obl,-0.146230246641277,-0.198143279093594,4.06522889585814E-06,0,0,0,4.15584212369349,0.112252927087712,-0.0837479479460411,2.74721842187913E-06,0.0703122721434734,3.77730010593314E-06,0.177260146809142,0,0,0,0,0,0,package://0000总装配体/meshes/med-obl.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/med-obl.STL,,KA-HG002-B-01-0001-1/机器人架台-1/肋板-3,Origin_joint6,Axis_joint6,joint6,fixed,-0.0514852228037534,-0.911470974847296,-0.0720851780501181,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
med-stand,-1.46494910507888E-08,0.572378024888155,-7.52363277789492E-08,0,0,0,14.7424134189067,2.31467894564188,8.81402147902437E-08,-1.0076441517696E-07,0.0288535915339863,4.31291163745656E-07,2.31453488216497,0,0,0,0,0,0,package://0000总装配体/meshes/med-stand.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/med-stand.STL,,KA-HG002-B-01-0001-1/机器人架台-1/1400xd80-1,Origin_joint7,Axis_joint7,joint7,fixed,-0.0514852228037534,-0.491470974847297,-0.0720851780501181,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
robot-link,-9.63489824160058E-07,0.005040362403822,3.09816322596745E-08,0,0,0,3.77346536057482,0.00674299382821359,1.96959082237102E-08,-1.67209603465006E-07,0.0475922855617016,5.72772129220253E-07,0.0475026925972196,0,0,0,0,0,0,package://0000总装配体/meshes/robot-link.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/robot-link.STL,,KA-HG002-B-01-0001-1/机器人架台-1/400x80-1,Origin_joint8,Axis_joint8,joint8,fixed,0,1.3,0,0,0,0,med-stand,0,0,0,,,,,,,,,,,,
camera-link,0.0188110055138636,0.0661923994225302,0.0161449417414519,0,0,0,0.872425770345966,0.00244716206477518,-0.000261928417905963,0.000218895130185953,0.00099685686142719,0.000760431412569529,0.00211018122757907,0,0,0,0,0,0,package://0000总装配体/meshes/camera-link.STL,1,1,1,1,0,0,0,0,0,0,package://0000总装配体/meshes/camera-link.STL,,相机架-1;相机架g-2,Origin_joint9,Axis_joint9,joint9,continuous,0,1.39620680392648,0,0,0.0531011503420065,0,med-stand,0,1,0,,,,,,,,,,,,
